id,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_gender,Platform,Engagement_rate
1,Jane Doe,@emma.t,340770,986,31587,Nutrition Products,Positive,Kerala,15-24,Male,TikTok,48.20723684
2,Mia Lee,@jane.doe,702603,847,49725,Smartphones,Positive,Gujarat,All,All,Twitter,48.20723684
3,John Smith,@noah.d,113855,241,41587,Home Appliances,Positive,Kerala,18-30,Male,Instagram,47.11635351
4,Emma Taylor,@jane.doe,202147,944,8042,Gadgets,Negative,Kerala,15-24,All,Facebook,47.11635351
5,Mason White,@john.smith,495171,508,30531,Home Appliances,Negative,Tamil Nadu,40-50,Female,Instagram,36.52628343
6,Mia Lee,@noah.d,341829,135,26257,Fashion Accessories,Neutral,Madhya Pradesh,40-50,All,TikTok,36.52628343
7,Isabella Moore,@liam.brown,487464,122,17005,Gadgets,Negative,Gujarat,30-45,All,Facebook,34.54117823
8,John Smith,@sophia.w,733223,545,40347,Eco-friendly Goods,Negative,Tamil Nadu,18-30,All,TikTok,34.54117823
9,Emma Taylor,@noah.d,183216,127,28785,Nutrition Products,Neutral,West Bengal,30-45,Male,Facebook,32.16236558
10,Isabella Moore,@isabella.m,409843,762,41313,Fashion Accessories,Negative,Karnataka,22-40,Female,Twitter,32.16236558
11,Emma Taylor,@mia.lee,856447,394,32383,Travel Services,Positive,Bihar,18-30,Female,TikTok,32.01812277
12,Mason White,@john.smith,767339,60,40011,Smartphones,Neutral,Karnataka,18-25,Male,Twitter,32.01812277
13,Isabella Moore,@noah.d,885659,762,5494,Food Products,Negative,Kerala,30-45,Female,Facebook,31.71141719
14,Isabella Moore,@emma.t,757739,976,6893,Nutrition Products,Negative,Karnataka,15-24,Female,Instagram,31.71141719
15,John Smith,@sophia.w,302086,999,42198,Travel Services,Neutral,Punjab,18-28,Female,Facebook,27.36739024
16,John Smith,@mia.lee,992087,245,18570,Gaming Products,Neutral,Delhi,All,Male,Twitter,27.36739024
17,Olivia Clark,@sophia.w,801403,58,46587,Nutrition Products,Neutral,Goa,18-30,All,TikTok,27.30798268
18,Olivia Clark,@emma.t,114466,534,15636,Nutrition Products,Neutral,Kerala,All,All,Instagram,27.30798268
19,Emma Taylor,@mia.lee,704611,386,21103,Cosmetics,Negative,Tamil Nadu,25-40,Male,Facebook,26.37089618
20,Isabella Moore,@jane.doe,287030,961,29251,Gadgets,Negative,Karnataka,18-28,Male,TikTok,26.37089618
21,Mia Lee,@john.smith,980666,390,13377,Pet Supplies,Neutral,Maharashtra,15-24,Male,Twitter,26.15853246
22,Olivia Clark,@emma.t,971583,962,24228,Books,Positive,Punjab,25-40,All,YouTube,26.15853246
23,Olivia Clark,@mason.w,204024,609,36337,Fashion Accessories,Negative,Uttar Pradesh,18-25,All,Instagram,25.95891454
24,Sophia Wilson,@olivia.c,254997,540,25661,Clothing,Neutral,Rajasthan,22-40,Female,Twitter,25.95891454
25,Mia Lee,@olivia.c,981916,174,21697,Art Supplies,Neutral,Maharashtra,All,Male,TikTok,25.59114383
26,Olivia Clark,@liam.brown,842653,544,41717,Gaming Products,Negative,Kerala,30-45,All,TikTok,25.59114383
27,Emma Taylor,@jane.doe,784742,757,7083,Cosmetics,Neutral,Kerala,18-30,All,Instagram,25.0749733
28,Liam Brown,@mia.lee,857495,317,6903,Art Supplies,Neutral,Delhi,18-30,Male,Twitter,25.0749733
29,Sophia Wilson,@mason.w,338878,205,47405,Smartphones,Negative,Goa,18-28,Female,YouTube,25.02461055
30,Mia Lee,@emma.t,366076,358,42833,Food Products,Negative,Punjab,15-24,All,YouTube,25.02461055
31,Jane Doe,@liam.brown,682670,978,37363,Gaming Products,Negative,Rajasthan,22-40,Female,Facebook,24.67815181
32,Jane Doe,@emma.t,324945,153,26869,Home Appliances,Negative,Madhya Pradesh,25-40,Female,Twitter,24.67815181
33,Emma Taylor,@liam.brown,440405,114,27018,Travel Services,Positive,Karnataka,30-45,All,YouTube,24.58968365
34,Liam Brown,@sophia.w,851696,922,12822,Fashion Accessories,Positive,Maharashtra,40-50,All,Facebook,24.58968365
35,Mason White,@jane.doe,709166,301,27084,Cosmetics,Neutral,Maharashtra,All,All,TikTok,24.00558307
36,Jane Doe,@john.smith,664210,143,12931,Home Appliances,Negative,Uttar Pradesh,22-40,Female,Facebook,24.00558307
37,Mia Lee,@noah.d,264487,690,49145,Fitness Equipment,Negative,Maharashtra,18-25,All,YouTube,23.10618455
38,Jane Doe,@jane.doe,750376,229,43038,Food Products,Neutral,Delhi,All,Female,TikTok,23.10618455
39,John Smith,@mia.lee,546160,412,32011,Clothing,Positive,Goa,25-34,Male,Twitter,22.86368523
40,John Smith,@sophia.w,426339,175,34550,Travel Services,Neutral,Rajasthan,22-40,Female,YouTube,22.86368523
41,Isabella Moore,@sophia.w,360266,572,24651,Smartphones,Neutral,Maharashtra,25-40,Male,YouTube,22.7624004
42,Emma Taylor,@mia.lee,169890,193,12690,Gadgets,Positive,Kerala,25-40,Male,YouTube,22.7624004
43,Noah Davis,@sophia.w,258700,433,20008,Pet Supplies,Positive,Rajasthan,18-30,All,TikTok,22.60819598
