id,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_Gender,Platform,Engagement_rate
1,Jane Doe,@emma.t,340770,986,31587,Nutrition Products,Positive,Kerala,15-24,Male,TikTok,9.269301875
2,Mia Lee,@jane.doe,702603,847,49725,Smartphones,Positive,Gujarat,All,All,Twitter,7.077254153
3,John Smith,@noah.d,113855,241,41587,Home Appliances,Positive,Kerala,18-30,Male,Instagram,36.52628343
4,Emma Taylor,@jane.doe,202147,944,8042,Gadgets,Negative,Kerala,15-24,All,Facebook,3.978293024
5,Mason White,@john.smith,495171,508,30531,Home Appliances,Negative,Tamil Nadu,40-50,Female,Instagram,6.165748802
6,Mia Lee,@noah.d,341829,135,26257,Fashion Accessories,Neutral,Madhya Pradesh,40-50,All,TikTok,7.681326043
7,Isabella Moore,@liam.brown,487464,122,17005,Gadgets,Negative,Gujarat,30-45,All,Facebook,3.488462738
8,John Smith,@sophia.w,733223,545,40347,Eco-friendly Goods,Negative,Tamil Nadu,18-30,All,TikTok,5.502691541
9,Emma Taylor,@noah.d,183216,127,28785,Nutrition Products,Neutral,West Bengal,30-45,Male,Facebook,15.71096411
10,Isabella Moore,@isabella.m,409843,762,41313,Fashion Accessories,Negative,Karnataka,22-40,Female,Twitter,10.08020144
11,Emma Taylor,@mia.lee,856447,394,32383,Travel Services,Positive,Bihar,18-30,Female,TikTok,3.781086279
12,Mason White,@john.smith,767339,60,40011,Smartphones,Neutral,Karnataka,18-25,Male,Twitter,5.214253413
13,Isabella Moore,@noah.d,885659,762,5494,Food Products,Negative,Kerala,30-45,Female,Facebook,0.620329043
14,Isabella Moore,@emma.t,757739,976,6893,Nutrition Products,Negative,Karnataka,15-24,Female,Instagram,0.909679982
15,John Smith,@sophia.w,302086,999,42198,Travel Services,Neutral,Punjab,18-28,Female,Facebook,13.96886979
16,John Smith,@mia.lee,992087,245,18570,Gaming Products,Neutral,Delhi,All,Male,Twitter,1.871811646
17,Olivia Clark,@sophia.w,801403,58,46587,Nutrition Products,Neutral,Goa,18-30,All,TikTok,5.813180135
18,Olivia Clark,@emma.t,114466,534,15636,Nutrition Products,Neutral,Kerala,All,All,Instagram,13.65995143
