id,brand_name,target_category,target_age,target_gender,target_location
1,Brand72,Nutrition Products,15-24,Female,Kerala
2,Brand88,Smartphones,All,Male,Gujarat
3,Brand55,Home Appliances,18-30,Male,Kerala
4,Brand84,Gadgets,15-24,Male,Kerala
5,Brand43,Home Appliances,40-50,All,Tamil Nadu
6,Brand24,Fashion Accessories,40-50,Male,Madhya Pradesh
7,Brand82,Gadgets,30-45,Male,Gujarat
8,Brand53,Eco-friendly Goods,18-30,Male,Tamil Nadu
9,Brand16,Nutrition Products,30-45,Male,West Bengal
10,Brand88,Fashion Accessories,22-40,All,Karnataka
11,Brand59,Travel Services,18-30,Female,Bihar
12,Brand32,Smartphones,18-25,Female,Karnataka
13,Brand78,Food Products,30-45,Male,Kerala
14,Brand16,Nutrition Products,15-24,Female,Karnataka
15,Brand76,Travel Services,18-28,All,Punjab
16,Brand50,Gaming Products,All,Female,Delhi
17,Brand22,Nutrition Products,18-30,All,Goa
18,Brand73,Nutrition Products,All,Female,Kerala
19,Brand8,Cosmetics,25-40,Male,Tamil Nadu
20,Brand75,Gadgets,18-28,Male,Karnataka
21,Brand25,Pet Supplies,15-24,Male,Maharashtra
22,Brand86,Books,25-40,All,Punjab
23,Brand51,Fashion Accessories,18-25,All,Uttar Pradesh
24,Brand85,Clothing,22-40,All,Rajasthan
25,Brand76,Art Supplies,All,Female,Maharashtra
26,Brand92,Gaming Products,30-45,All,Kerala
27,Brand69,Cosmetics,18-30,All,Kerala
28,Brand7,Art Supplies,18-30,All,Delhi
29,Brand89,Smartphones,18-28,Female,Goa
30,Brand51,Food Products,15-24,Male,Punjab
31,Brand43,Gaming Products,22-40,Female,Rajasthan
32,Brand23,Home Appliances,25-40,Male,Madhya Pradesh
33,Brand98,Travel Services,30-45,All,Karnataka
34,Brand58,Fashion Accessories,40-50,Female,Maharashtra
35,Brand91,Cosmetics,All,Male,Maharashtra
36,Brand43,Home Appliances,22-40,All,Uttar Pradesh
37,Brand36,Fitness Equipment,18-25,All,Maharashtra
38,Brand19,Food Products,All,Female,Delhi
39,Brand99,Clothing,25-34,All,Goa
40,Brand85,Travel Services,22-40,Female,Rajasthan
41,Brand13,Smartphones,25-40,Female,Maharashtra
42,Brand97,Gadgets,25-40,Female,Kerala
43,Brand60,Pet Supplies,18-30,Male,Rajasthan
44,Brand44,Clothing,25-40,All,Uttar Pradesh
45,Brand10,Books,25-34,All,Kerala
46,Brand59,Travel Services,18-25,Male,Tamil Nadu
47,Brand83,Cosmetics,18-25,Male,India
48,Brand61,Travel Services,25-40,Female,Kerala
49,Brand24,Art Supplies,All,Female,Haryana
50,Brand43,Eco-friendly Goods,All,Female,Delhi
51,Brand54,Fitness Equipment,15-24,All,Karnataka
52,Brand55,Eco-friendly Goods,30-45,Female,India
53,Brand85,Gaming Products,30-45,Female,Madhya Pradesh
54,Brand81,Smartphones,40-50,Female,Karnataka
55,Brand31,Fitness Equipment,22-40,Male,Madhya Pradesh
56,Brand26,Gaming Products,25-40,Female,Maharashtra
57,Brand6,Gadgets,18-28,All,Karnataka
58,Brand78,Fashion Accessories,30-45,Male,Madhya Pradesh
59,Brand53,Cosmetics,25-40,Male,Rajasthan
60,Brand80,Food Products,All,All,Tamil Nadu
61,Brand39,Clothing,40-50,All,Gujarat
62,Brand45,Gadgets,15-24,All,Haryana
63,Brand97,Nutrition Products,15-24,Female,Uttar Pradesh
64,Brand47,Eco-friendly Goods,22-40,Male,Uttar Pradesh
65,Brand46,Art Supplies,22-40,All,Uttar Pradesh
66,Brand100,Eco-friendly Goods,18-30,Female,Madhya Pradesh
67,Brand68,Pet Supplies,All,Male,West Bengal
68,Brand69,Smartphones,All,Female,Bihar
69,Brand32,Fitness Equipment,18-28,Male,West Bengal
70,Brand67,Cosmetics,25-34,Male,Rajasthan
71,Brand54,Books,18-30,Female,Delhi
72,Brand88,Books,18-25,Male,India
73,Brand98,Fashion Accessories,18-30,Female,Delhi
74,Brand58,Fashion Accessories,All,Male,Punjab
75,Brand7,Smartphones,25-34,Male,India
76,Brand46,Pet Supplies,22-40,Female,India
77,Brand60,Clothing,25-34,Male,Uttar Pradesh
78,Brand33,Food Products,All,Male,West Bengal
79,Brand67,Cosmetics,18-30,Male,India
80,Brand81,Gaming Products,25-40,All,Tamil Nadu
81,Brand1,Smartphones,25-34,Female,Madhya Pradesh
82,Brand59,Home Appliances,18-28,All,West Bengal
83,Brand27,Home Appliances,18-30,Male,Rajasthan
84,Brand62,Books,18-25,All,West Bengal
85,Brand10,Art Supplies,30-45,Male,Gujarat
86,Brand66,Books,25-34,Female,West Bengal
87,Brand97,Fitness Equipment,30-45,All,Delhi
88,Brand30,Smartphones,40-50,All,Karnataka
89,Brand65,Fashion Accessories,18-30,All,Goa
90,Brand10,Art Supplies,30-45,All,Karnataka
91,Brand74,Pet Supplies,18-28,Male,Rajasthan
92,Brand42,Eco-friendly Goods,22-40,Female,Rajasthan
93,Brand75,Eco-friendly Goods,25-34,All,Haryana
94,Brand19,Fashion Accessories,18-28,Female,Delhi
95,Brand81,Cosmetics,18-25,Male,Haryana
96,Brand83,Pet Supplies,All,Female,Gujarat
97,Brand95,Books,22-40,Female,Kerala
98,Brand53,Art Supplies,25-40,Female,Kerala
99,Brand28,Books,22-40,Female,Delhi
100,Brand79,Fitness Equipment,25-40,Female,Gujarat
101,Brand26,Art Supplies,18-25,Female,Rajasthan
102,Brand91,Eco-friendly Goods,All,Female,Madhya Pradesh
103,Brand95,Food Products,25-34,Male,West Bengal
104,Brand49,Pet Supplies,30-45,Male,Haryana
105,Brand100,Fitness Equipment,All,Female,Haryana
106,Brand9,Fitness Equipment,30-45,Female,India
107,Brand45,Gaming Products,15-24,Male,India
108,Brand26,Eco-friendly Goods,18-30,Female,Goa
109,Brand25,Clothing,22-40,All,Goa
110,Brand51,Food Products,18-28,Female,Kerala
111,Brand81,Art Supplies,30-45,Male,Bihar
112,Brand64,Fitness Equipment,18-25,All,Uttar Pradesh
113,Brand78,Books,18-28,Female,Haryana
114,Brand22,Gaming Products,18-25,Female,Bihar
115,Brand20,Pet Supplies,All,Male,Haryana
116,Brand83,Smartphones,18-30,Male,Goa
117,Brand5,Travel Services,40-50,All,Maharashtra
118,Brand12,Smartphones,40-50,Female,India
119,Brand62,Food Products,All,Male,Maharashtra
120,Brand21,Gadgets,18-28,Female,West Bengal
121,Brand32,Gaming Products,25-40,All,Rajasthan
122,Brand30,Nutrition Products,40-50,Female,Maharashtra
123,Brand74,Eco-friendly Goods,40-50,All,West Bengal
124,Brand54,Cosmetics,22-40,All,Delhi
125,Brand59,Books,22-40,Male,Uttar Pradesh
126,Brand59,Nutrition Products,25-34,Female,Karnataka
127,Brand32,Fitness Equipment,22-40,Male,India
128,Brand4,Pet Supplies,18-25,All,Kerala
129,Brand59,Cosmetics,22-40,All,Karnataka
130,Brand46,Cosmetics,22-40,Male,Goa
131,Brand64,Food Products,30-45,Male,Madhya Pradesh
132,Brand63,Eco-friendly Goods,All,Male,Maharashtra
133,Brand66,Fashion Accessories,All,Male,Delhi
134,Brand64,Cosmetics,All,All,Delhi
135,Brand67,Pet Supplies,25-34,All,Tamil Nadu
136,Brand85,Cosmetics,25-40,Male,Delhi
137,Brand25,Gaming Products,25-34,Male,Uttar Pradesh
138,Brand58,Travel Services,30-45,Female,India
139,Brand77,Food Products,18-28,All,Maharashtra
140,Brand40,Pet Supplies,25-34,All,Delhi
141,Brand30,Clothing,18-30,All,Uttar Pradesh
