,id,brand_name,Product_category,target_age,target_gender,target_location,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_Gender,Platform,Engagement_rate,Interaction,Tags
0,1,Brand72,Nutrition Products,15-24,Female,Kerala,Jane Doe,@emma.t,340770,986,31587,"nutrition, products",Positive,kerala,"15, 24",male,tiktok,9.269301875,1,"nutrition, products, kerala, 15, 24, male, tiktok"
1,2,Brand88,Smartphones,All,Male,Gujarat,Mia Lee,@jane.doe,702603,847,49725,smartphones,Positive,gujarat,,,twitter,7.077254153,1,"smartphones, gujarat, , , twitter"
2,3,Brand55,Home Appliances,18-30,Male,Kerala,John Smith,@noah.d,113855,241,41587,"home, appliances",Positive,kerala,"18, 30",male,instagram,36.52628343,1,"home, appliances, kerala, 18, 30, male, instagram"
3,4,Brand84,Gadgets,15-24,Male,Kerala,Emma Taylor,@jane.doe,202147,944,8042,gadgets,Negative,kerala,"15, 24",,facebook,3.978293024,0,"gadgets, kerala, 15, 24, , facebook"
4,5,Brand43,Home Appliances,40-50,All,Tamil Nadu,Mason White,@john.smith,495171,508,30531,"home, appliances",Negative,"tamil, nadu","40, 50",female,instagram,6.165748802,1,"home, appliances, tamil, nadu, 40, 50, female, instagram"
5,6,Brand24,Fashion Accessories,40-50,Male,Madhya Pradesh,Mia Lee,@noah.d,341829,135,26257,"fashion, accessories",Neutral,"madhya, pradesh","40, 50",,tiktok,7.681326043,1,"fashion, accessories, madhya, pradesh, 40, 50, , tiktok"
6,7,Brand82,Gadgets,30-45,Male,Gujarat,Isabella Moore,@liam.brown,487464,122,17005,gadgets,Negative,gujarat,"30, 45",,facebook,3.488462738,0,"gadgets, gujarat, 30, 45, , facebook"
7,8,Brand53,Eco-friendly Goods,18-30,Male,Tamil Nadu,John Smith,@sophia.w,733223,545,40347,"eco, friendly, goods",Negative,"tamil, nadu","18, 30",,tiktok,5.502691541,1,"eco, friendly, goods, tamil, nadu, 18, 30, , tiktok"
8,9,Brand16,Nutrition Products,30-45,Male,West Bengal,Emma Taylor,@noah.d,183216,127,28785,"nutrition, products",Neutral,"west, bengal","30, 45",male,facebook,15.71096411,1,"nutrition, products, west, bengal, 30, 45, male, facebook"
9,10,Brand88,Fashion Accessories,22-40,All,Karnataka,Isabella Moore,@isabella.m,409843,762,41313,"fashion, accessories",Negative,karnataka,"22, 40",female,twitter,10.08020144,1,"fashion, accessories, karnataka, 22, 40, female, twitter"
10,11,Brand59,Travel Services,18-30,Female,Bihar,Emma Taylor,@mia.lee,856447,394,32383,"travel, services",Positive,bihar,"18, 30",female,tiktok,3.781086279,0,"travel, services, bihar, 18, 30, female, tiktok"
11,12,Brand32,Smartphones,18-25,Female,Karnataka,Mason White,@john.smith,767339,60,40011,smartphones,Neutral,karnataka,"18, 25",male,twitter,5.214253413,1,"smartphones, karnataka, 18, 25, male, twitter"
12,13,Brand78,Food Products,30-45,Male,Kerala,Isabella Moore,@noah.d,885659,762,5494,"food, products",Negative,kerala,"30, 45",female,facebook,0.620329043,0,"food, products, kerala, 30, 45, female, facebook"
13,14,Brand16,Nutrition Products,15-24,Female,Karnataka,Isabella Moore,@emma.t,757739,976,6893,"nutrition, products",Negative,karnataka,"15, 24",female,instagram,0.909679982,0,"nutrition, products, karnataka, 15, 24, female, instagram"
14,15,Brand76,Travel Services,18-28,All,Punjab,John Smith,@sophia.w,302086,999,42198,"travel, services",Neutral,punjab,"18, 28",female,facebook,13.96886979,1,"travel, services, punjab, 18, 28, female, facebook"
15,16,Brand50,Gaming Products,All,Female,Delhi,John Smith,@mia.lee,992087,245,18570,"gaming, products",Neutral,delhi,,male,twitter,1.871811646,0,"gaming, products, delhi, , male, twitter"
16,17,Brand22,Nutrition Products,18-30,All,Goa,Olivia Clark,@sophia.w,801403,58,46587,"nutrition, products",Neutral,goa,"18, 30",,tiktok,5.813180135,1,"nutrition, products, goa, 18, 30, , tiktok"
17,18,Brand73,Nutrition Products,All,Female,Kerala,Olivia Clark,@emma.t,114466,534,15636,"nutrition, products",Neutral,kerala,,,instagram,13.65995143,1,"nutrition, products, kerala, , , instagram"
18,19,Brand8,Cosmetics,25-40,Male,Tamil Nadu,Emma Taylor,@mia.lee,704611,386,21103,cosmetics,Negative,"tamil, nadu","25, 40",male,facebook,2.994985886,0,"cosmetics, tamil, nadu, 25, 40, male, facebook"
19,20,Brand75,Gadgets,18-28,Male,Karnataka,Isabella Moore,@jane.doe,287030,961,29251,gadgets,Negative,karnataka,"18, 28",male,tiktok,10.19092081,1,"gadgets, karnataka, 18, 28, male, tiktok"
20,21,Brand25,Pet Supplies,15-24,Male,Maharashtra,Mia Lee,@john.smith,980666,390,13377,"pet, supplies",Neutral,maharashtra,"15, 24",male,twitter,1.364072987,0,"pet, supplies, maharashtra, 15, 24, male, twitter"
21,22,Brand86,Books,25-40,All,Punjab,Olivia Clark,@emma.t,971583,962,24228,books,Positive,punjab,"25, 40",,youtube,2.493662405,0,"books, punjab, 25, 40, , youtube"
22,23,Brand51,Fashion Accessories,18-25,All,Uttar Pradesh,Olivia Clark,@mason.w,204024,609,36337,"fashion, accessories",Negative,"uttar, pradesh","18, 25",,instagram,17.81015959,1,"fashion, accessories, uttar, pradesh, 18, 25, , instagram"
23,24,Brand85,Clothing,22-40,All,Rajasthan,Sophia Wilson,@olivia.c,254997,540,25661,clothing,Neutral,rajasthan,"22, 40",female,twitter,10.06325565,1,"clothing, rajasthan, 22, 40, female, twitter"
24,25,Brand76,Art Supplies,All,Female,Maharashtra,Mia Lee,@olivia.c,981916,174,21697,"art, supplies",Neutral,maharashtra,,male,tiktok,2.209659482,0,"art, supplies, maharashtra, , male, tiktok"
25,26,Brand92,Gaming Products,30-45,All,Kerala,Olivia Clark,@liam.brown,842653,544,41717,"gaming, products",Negative,kerala,"30, 45",,tiktok,4.950673646,0,"gaming, products, kerala, 30, 45, , tiktok"
26,27,Brand69,Cosmetics,18-30,All,Kerala,Emma Taylor,@jane.doe,784742,757,7083,cosmetics,Neutral,kerala,"18, 30",,instagram,0.902589641,0,"cosmetics, kerala, 18, 30, , instagram"
27,28,Brand7,Art Supplies,18-30,All,Delhi,Liam Brown,@mia.lee,857495,317,6903,"art, supplies",Neutral,delhi,"18, 30",male,twitter,0.805019271,0,"art, supplies, delhi, 18, 30, male, twitter"
28,29,Brand89,Smartphones,18-28,Female,Goa,Sophia Wilson,@mason.w,338878,205,47405,smartphones,Negative,goa,"18, 28",female,youtube,13.98881013,1,"smartphones, goa, 18, 28, female, youtube"
29,30,Brand51,Food Products,15-24,Male,Punjab,Mia Lee,@emma.t,366076,358,42833,"food, products",Negative,punjab,"15, 24",,youtube,11.70057584,1,"food, products, punjab, 15, 24, , youtube"
30,31,Brand43,Gaming Products,22-40,Female,Rajasthan,Jane Doe,@liam.brown,682670,978,37363,"gaming, products",Negative,rajasthan,"22, 40",female,facebook,5.473068979,1,"gaming, products, rajasthan, 22, 40, female, facebook"
31,32,Brand23,Home Appliances,25-40,Male,Madhya Pradesh,Jane Doe,@emma.t,324945,153,26869,"home, appliances",Negative,"madhya, pradesh","25, 40",female,twitter,8.268783948,1,"home, appliances, madhya, pradesh, 25, 40, female, twitter"
32,33,Brand98,Travel Services,30-45,All,Karnataka,Emma Taylor,@liam.brown,440405,114,27018,"travel, services",Positive,karnataka,"30, 45",,youtube,6.134807734,1,"travel, services, karnataka, 30, 45, , youtube"
33,34,Brand58,Fashion Accessories,40-50,Female,Maharashtra,Liam Brown,@sophia.w,851696,922,12822,"fashion, accessories",Positive,maharashtra,"40, 50",,facebook,1.505466739,0,"fashion, accessories, maharashtra, 40, 50, , facebook"
34,35,Brand91,Cosmetics,All,Male,Maharashtra,Mason White,@jane.doe,709166,301,27084,cosmetics,Neutral,maharashtra,,,tiktok,3.819134025,0,"cosmetics, maharashtra, , , tiktok"
