brand_id,brand_name,product_category,audience_age,audience_gender,audience_location
201,BeautyCo,Cosmetics,18-25,Female,Madhya Pradesh
202,FitLife,Fitness Equipment,25-34,Male,Delhi
203,TechGear,Gadgets,18-24,Male,India
204,FashionX,Clothing,18-30,Female,India
205,TravelNow,Travel Services,25-40,All,"Goa, Jammu and Kashmir"
,StyleUp,Fashion Accessories,18-28,Female,Maharashtra
,HealthFirst,Nutrition Products,30—45,Male,Punjab
,HomeEssentials,Home Appliances,22-40,All,Karnataka
,GameZone,Gaming Products,15-24,Male,Gujarat
,EcoLiving,Eco-friendly Goods,25 - 60,Female,Kerala
