id,brand_name,Category,target_age,target_gender,target_location
601,Brand122,Art Supplies,22-40,Female,Rajasthan
602,Brand145,Nutrition Products,18-30,Male,Punjab
603,Brand122,Nutrition Products,40-50,Female,Kerala
604,Brand115,Cosmetics,All,All,Haryana
605,Brand126,Smartphones,15-24,All,Kerala
606,Brand111,Travel Services,15-24,Female,Delhi
607,Brand126,Art Supplies,All,Female,Uttar Pradesh
608,Brand135,Travel Services,18-28,All,Karnataka
609,Brand133,Nutrition Products,18-30,All,Kerala
610,Brand117,Home Appliances,All,Female,Uttar Pradesh
611,Brand137,Nutrition Products,All,Female,Madhya Pradesh
612,Brand133,Smartphones,18-30,All,Maharashtra
613,Brand125,Gadgets,15-24,Female,Karnataka
614,Brand124,Cosmetics,All,Male,Delhi
615,Brand109,Cosmetics,25-40,Male,Madhya Pradesh
616,Brand131,Gadgets,All,Male,Haryana
617,Brand111,Cosmetics,15-24,Female,Gujarat
618,Brand147,Pet Supplies,25-40,Male,Madhya Pradesh
619,Brand109,Fashion Accessories,15-24,Female,Madhya Pradesh
620,Brand142,Eco-friendly Goods,15-24,Female,Punjab
621,Brand106,Cosmetics,18-28,Female,Maharashtra
622,Brand131,Nutrition Products,25-40,All,Madhya Pradesh
623,Brand122,Gadgets,30-45,Female,Kerala
624,Brand122,Fashion Accessories,30-45,Female,Maharashtra
625,Brand118,Cosmetics,18-28,Male,Karnataka
626,Brand140,Smartphones,40-50,All,Karnataka
627,Brand128,Travel Services,22-40,Male,Kerala
628,Brand131,Gadgets,15-24,Male,Madhya Pradesh
629,Brand113,Smartphones,18-30,All,Karnataka
630,Brand120,Gaming Products,15-24,Female,Madhya Pradesh
631,Brand104,Cosmetics,18-25,Female,Maharashtra
632,Brand128,Travel Services,18-25,Female,Karnataka
633,Brand136,Home Appliances,22-40,All,Karnataka
634,Brand117,Pet Supplies,40-50,Male,Karnataka
635,Brand114,Eco-friendly Goods,40-50,Female,West Bengal
636,Brand138,Home Appliances,15-24,All,Karnataka
637,Brand136,Fashion Accessories,18-30,Male,Kerala
638,Brand106,Books,40-50,All,Kerala
639,Brand145,Smartphones,22-40,Female,Karnataka
640,Brand140,Cosmetics,18-30,Male,Madhya Pradesh
641,Brand122,Pet Supplies,25-40,Male,Haryana
642,Brand140,Home Appliances,15-24,All,Madhya Pradesh
643,Brand137,Smartphones,15-24,Male,Karnataka
644,Brand126,Gaming Products,25-40,All,Maharashtra
645,Brand126,Smartphones,18-25,Female,Madhya Pradesh
646,Brand107,Fashion Accessories,22-40,Male,Goa
647,Brand117,Nutrition Products,40-50,Female,Punjab
648,Brand125,Nutrition Products,All,Female,Kerala
649,Brand131,Food Products,All,Female,Kerala
650,Brand131,Cosmetics,22-40,All,Tamil Nadu
651,Brand115,Nutrition Products,All,Female,Karnataka
652,Brand143,Nutrition Products,40-50,Male,Kerala
653,Brand133,Art Supplies,18-28,All,Madhya Pradesh
654,Brand122,Books,15-24,Male,Kerala
655,Brand107,Cosmetics,All,Male,Karnataka
656,Brand144,Home Appliances,30-45,All,Delhi
657,Brand128,Nutrition Products,All,All,Punjab
658,Brand126,Gadgets,All,All,Goa
659,Brand104,Eco-friendly Goods,18-30,Male,Madhya Pradesh
660,Brand110,Cosmetics,22-40,Female,Delhi
661,Brand107,Travel Services,All,Male,Kerala
662,Brand145,Cosmetics,25-40,Male,Maharashtra
663,Brand150,Eco-friendly Goods,All,Male,Madhya Pradesh
664,Brand115,Art Supplies,40-50,Female,Delhi
665,Brand119,Smartphones,18-25,Male,Delhi
666,Brand128,Gaming Products,40-50,Female,Kerala
667,Brand128,Art Supplies,15-24,Female,Kerala
668,Brand123,Books,15-24,Male,Goa
669,Brand142,Food Products,All,Female,Delhi
670,Brand129,Gadgets,18-30,Male,Madhya Pradesh
671,Brand104,Gadgets,18-28,Female,Rajasthan
672,Brand120,Food Products,18-30,Female,Delhi
673,Brand123,Smartphones,All,All,Maharashtra
674,Brand137,Gaming Products,22-40,Male,Rajasthan
675,Brand118,Art Supplies,40-50,Male,Madhya Pradesh
676,Brand104,Gadgets,15-24,Female,Madhya Pradesh
677,Brand130,Food Products,40-50,Female,Tamil Nadu
678,Brand148,Smartphones,18-25,Female,Punjab
679,Brand116,Gadgets,25-40,All,Karnataka
