id,brand_name,target_category,target_age,target_gender,target_location,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_gender,Platform,Engagement_rate
1,Brand72,Nutrition Products,15-24,Female,Kerala,Jane Doe,@emma.t,340770,986,31587,Nutrition Products,Positive,Kerala,15-24,Male,TikTok,48.20723684
2,Brand88,Smartphones,All,Male,Gujarat,Mia Lee,@jane.doe,702603,847,49725,Smartphones,Positive,Gujarat,All,All,Twitter,48.20723684
3,Brand55,Home Appliances,18-30,Male,Kerala,John Smith,@noah.d,113855,241,41587,Home Appliances,Positive,Kerala,18-30,Male,Instagram,47.11635351
4,Brand84,Gadgets,15-24,Male,Kerala,Emma Taylor,@jane.doe,202147,944,8042,Gadgets,Negative,Kerala,15-24,All,Facebook,47.11635351
5,Brand43,Home Appliances,40-50,All,Tamil Nadu,Mason White,@john.smith,495171,508,30531,Home Appliances,Negative,Tamil Nadu,40-50,Female,Instagram,36.52628343
6,Brand24,Fashion Accessories,40-50,Male,Madhya Pradesh,Mia Lee,@noah.d,341829,135,26257,Fashion Accessories,Neutral,Madhya Pradesh,40-50,All,TikTok,36.52628343
7,Brand82,Gadgets,30-45,Male,Gujarat,Isabella Moore,@liam.brown,487464,122,17005,Gadgets,Negative,Gujarat,30-45,All,Facebook,34.54117823
8,Brand53,Eco-friendly Goods,18-30,Male,Tamil Nadu,John Smith,@sophia.w,733223,545,40347,Eco-friendly Goods,Negative,Tamil Nadu,18-30,All,TikTok,34.54117823
9,Brand16,Nutrition Products,30-45,Male,West Bengal,Emma Taylor,@noah.d,183216,127,28785,Nutrition Products,Neutral,West Bengal,30-45,Male,Facebook,32.16236558
10,Brand88,Fashion Accessories,22-40,All,Karnataka,Isabella Moore,@isabella.m,409843,762,41313,Fashion Accessories,Negative,Karnataka,22-40,Female,Twitter,32.16236558
11,Brand59,Travel Services,18-30,Female,Bihar,Emma Taylor,@mia.lee,856447,394,32383,Travel Services,Positive,Bihar,18-30,Female,TikTok,32.01812277
12,Brand32,Smartphones,18-25,Female,Karnataka,Mason White,@john.smith,767339,60,40011,Smartphones,Neutral,Karnataka,18-25,Male,Twitter,32.01812277
